classifier,size,training,validation
weka.classifiers.bayes.BayesNet,8836,4.21052631578948,10.0
weka.classifiers.bayes.BayesNet,8514,0.0,9.090909090909093
weka.classifiers.bayes.BayesNet,7406,3.191489361702125,0.0
weka.classifiers.bayes.BayesNet,7406,3.1578947368421098,0.0
weka.classifiers.bayes.BayesNet,7993,4.255319148936167,0.0
weka.classifiers.bayes.BayesNet,8374,4.21052631578948,10.0
weka.classifiers.bayes.BayesNet,7930,2.10526315789474,20.0
weka.classifiers.bayes.BayesNet,8056,1.0638297872340416,0.0
weka.classifiers.bayes.BayesNet,7991,0.0,9.090909090909093
weka.classifiers.meta.AdaBoostM1,3712,1.05263157894737,0.0
weka.classifiers.meta.AdaBoostM1,3440,5.319148936170208,0.0
weka.classifiers.meta.AdaBoostM1,3520,1.05263157894737,0.0
weka.classifiers.meta.AdaBoostM1,3440,1.0638297872340416,9.090909090909093
weka.classifiers.meta.AdaBoostM1,3440,2.10526315789474,0.0
weka.classifiers.meta.AdaBoostM1,3440,2.1276595744680833,0.0
weka.classifiers.meta.AdaBoostM1,3440,2.1276595744680833,0.0
weka.classifiers.meta.AdaBoostM1,3440,2.1276595744680833,0.0
weka.classifiers.meta.AdaBoostM1,3464,2.10526315789474,10.0
weka.classifiers.meta.AdaBoostM1,3440,2.10526315789474,20.0
weka.classifiers.bayes.BayesNet,8623,2.10526315789474,20.0
weka.classifiers.functions.Logistic,7580,4.255319148936167,9.090909090909093
weka.classifiers.functions.Logistic,7580,3.191489361702125,0.0
weka.classifiers.functions.Logistic,7580,1.05263157894737,20.0
weka.classifiers.bayes.BayesNet,7406,3.191489361702125,0.0
weka.classifiers.bayes.BayesNet,7406,3.191489361702125,0.0
weka.classifiers.bayes.BayesNet,7844,3.1578947368421098,0.0
weka.classifiers.bayes.BayesNet,7406,2.10526315789474,20.0
weka.classifiers.bayes.BayesNet,7467,0.0,9.090909090909093
weka.classifiers.bayes.BayesNet,7469,1.0638297872340416,0.0
weka.classifiers.bayes.BayesNet,7406,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayesMultinomial,1820,29.473684210526315,70.0
weka.classifiers.rules.DecisionTable,7163,2.10526315789474,20.0
weka.classifiers.bayes.NaiveBayesMultinomial,1844,23.40425531914893,45.45454545454545
weka.classifiers.rules.JRip,5337,1.0638297872340416,0.0
weka.classifiers.rules.JRip,5337,0.0,30.0
weka.classifiers.rules.JRip,5337,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayesMultinomial,1741,20.0,20.0
weka.classifiers.meta.Vote,11832,1.05263157894737,0.0
weka.classifiers.meta.Vote,11525,3.1578947368421098,0.0
weka.classifiers.meta.Vote,11832,1.05263157894737,0.0
weka.classifiers.meta.Vote,11832,1.05263157894737,0.0
weka.classifiers.meta.Vote,11525,0.0,20.0
weka.classifiers.meta.Vote,11525,3.191489361702125,0.0
weka.classifiers.meta.Vote,11832,1.0638297872340416,0.0
weka.classifiers.lazy.LWL,10495,6.38297872340425,0.0
weka.classifiers.lazy.LWL,10556,6.315789473684205,20.0
weka.classifiers.lazy.LWL,10556,4.21052631578948,20.0
weka.classifiers.functions.MultilayerPerceptron,10293,17.02127659574468,18.181818181818187
weka.classifiers.lazy.LWL,10940,13.684210526315795,20.0
weka.classifiers.meta.Bagging,2521,5.263157894736835,0.0
weka.classifiers.meta.Bagging,2521,5.263157894736835,0.0
weka.classifiers.meta.Bagging,2520,3.191489361702125,0.0
weka.classifiers.meta.Bagging,2520,2.1276595744680833,9.090909090909093
weka.classifiers.meta.Bagging,2521,2.10526315789474,20.0
weka.classifiers.meta.Bagging,2553,3.191489361702125,0.0
weka.classifiers.meta.Bagging,2553,3.191489361702125,0.0
weka.classifiers.lazy.LWL,16077,0.0,0.0
weka.classifiers.lazy.LWL,16154,0.0,0.0
weka.classifiers.lazy.LWL,16154,0.0,20.0
weka.classifiers.functions.SimpleLogistic,5913,3.191489361702125,0.0
weka.classifiers.functions.SimpleLogistic,5913,1.05263157894737,20.0
weka.classifiers.functions.SimpleLogistic,5913,3.1578947368421098,0.0
weka.classifiers.meta.Vote,10895,1.05263157894737,20.0
weka.classifiers.functions.SimpleLogistic,6320,3.191489361702125,0.0
weka.classifiers.functions.SimpleLogistic,6320,1.05263157894737,0.0
weka.classifiers.functions.SimpleLogistic,6320,3.1578947368421098,0.0
weka.classifiers.functions.SimpleLogistic,6320,3.191489361702125,0.0
weka.classifiers.functions.SimpleLogistic,6320,3.1578947368421098,0.0
weka.classifiers.functions.SimpleLogistic,6320,1.05263157894737,20.0
weka.classifiers.functions.SimpleLogistic,6320,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayesMultinomial,1741,36.8421052631579,70.0
weka.classifiers.functions.SimpleLogistic,6314,8.421052631578945,0.0
weka.classifiers.functions.SimpleLogistic,6314,10.63829787234043,9.090909090909093
weka.classifiers.functions.SimpleLogistic,6314,9.473684210526315,10.0
weka.classifiers.trees.J48,4256,1.0638297872340416,0.0
weka.classifiers.trees.J48,4256,0.0,30.0
weka.classifiers.trees.J48,4256,1.05263157894737,0.0
weka.classifiers.functions.SimpleLogistic,6320,3.1578947368421098,0.0
weka.classifiers.functions.SimpleLogistic,6320,3.191489361702125,0.0
weka.classifiers.functions.SimpleLogistic,6320,3.1578947368421098,0.0
weka.classifiers.functions.SimpleLogistic,6320,2.1276595744680833,9.090909090909093
weka.classifiers.functions.SimpleLogistic,6320,3.1578947368421098,0.0
weka.classifiers.functions.SimpleLogistic,6320,3.191489361702125,0.0
weka.classifiers.functions.SimpleLogistic,6320,1.05263157894737,20.0
weka.classifiers.trees.RandomTree,2406,3.1578947368421098,0.0
weka.classifiers.trees.RandomTree,2406,3.1578947368421098,0.0
weka.classifiers.trees.RandomTree,2406,3.191489361702125,0.0
weka.classifiers.trees.RandomTree,2373,1.0E100,9.090909090909093
weka.classifiers.trees.RandomTree,2373,1.0E100,0.0
weka.classifiers.trees.RandomTree,2373,1.0E100,1.0E100
weka.classifiers.trees.RandomTree,2406,1.0638297872340416,0.0
weka.classifiers.meta.Vote,10241,1.05263157894737,20.0
weka.classifiers.trees.RandomTree,2373,4.21052631578948,0.0
weka.classifiers.trees.RandomTree,2373,2.1276595744680833,9.090909090909093
weka.classifiers.trees.RandomTree,2318,2.10526315789474,20.0
weka.classifiers.lazy.IBk,7969,0.0,30.0
weka.classifiers.trees.RandomTree,2439,3.191489361702125,0.0
weka.classifiers.trees.RandomTree,2494,2.10526315789474,0.0
weka.classifiers.trees.RandomTree,2494,2.10526315789474,20.0
weka.classifiers.lazy.LWL,13689,10.526315789473685,40.0
weka.classifiers.trees.RandomTree,2046,63.829787234042556,90.9090909090909
weka.classifiers.meta.Bagging,43220,3.191489361702125,0.0
weka.classifiers.meta.Bagging,48055,2.1276595744680833,9.090909090909093
weka.classifiers.meta.Bagging,42774,0.0,30.0
weka.classifiers.trees.RandomTree,2340,3.1578947368421098,0.0
weka.classifiers.trees.RandomTree,2340,2.10526315789474,20.0
weka.classifiers.trees.RandomTree,2340,3.191489361702125,0.0
weka.classifiers.meta.RandomSubSpace,14692,4.21052631578948,0.0
weka.classifiers.lazy.IBk,13560,0.0,0.0
