classifier,size,train,valid
weka.classifiers.rules.JRip,2307,3.1578947368421098,0.0
weka.classifiers.rules.JRip,2183,1.05263157894737,0.0
weka.classifiers.rules.JRip,2135,0.0,30.0
weka.classifiers.rules.JRip,2156,0.0,18.181818181818187
weka.classifiers.rules.JRip,2161,1.0638297872340416,0.0
weka.classifiers.rules.JRip,2235,5.263157894736835,20.0
weka.classifiers.functions.SMO,4943,3.1578947368421098,0.0
weka.classifiers.functions.SMO,4928,3.191489361702125,0.0
weka.classifiers.functions.SMO,4939,3.191489361702125,0.0
weka.classifiers.functions.SMO,4908,3.191489361702125,0.0
weka.classifiers.functions.SMO,4866,3.1578947368421098,0.0
weka.classifiers.functions.SMO,4963,3.191489361702125,0.0
weka.classifiers.functions.SMO,4950,3.1578947368421098,0.0
weka.classifiers.functions.SMO,4856,1.05263157894737,20.0
weka.classifiers.functions.SMO,4972,2.1276595744680833,9.090909090909093
weka.classifiers.functions.SMO,4931,3.1578947368421098,0.0
weka.classifiers.meta.Vote,3575,3.191489361702125,0.0
weka.classifiers.meta.Vote,3579,2.1276595744680833,0.0
weka.classifiers.meta.Vote,3696,2.1276595744680833,0.0
weka.classifiers.meta.Vote,3576,0.0,20.0
weka.classifiers.meta.Vote,3688,1.0638297872340416,0.0
weka.classifiers.meta.Vote,3690,1.05263157894737,0.0
weka.classifiers.meta.Vote,3685,1.05263157894737,0.0
weka.classifiers.lazy.LWL,3689,1.05263157894737,0.0
weka.classifiers.lazy.LWL,3645,1.0638297872340416,0.0
weka.classifiers.lazy.LWL,3709,1.05263157894737,0.0
weka.classifiers.lazy.LWL,3619,0.0,20.0
weka.classifiers.lazy.LWL,3652,1.05263157894737,0.0
weka.classifiers.lazy.LWL,3681,0.0,9.090909090909093
weka.classifiers.lazy.LWL,3706,1.0638297872340416,0.0
weka.classifiers.functions.MultilayerPerceptron,3306,20.212765957446805,36.36363636363637
weka.classifiers.meta.Bagging,1312,5.263157894736835,0.0
weka.classifiers.meta.Bagging,1341,3.191489361702125,0.0
weka.classifiers.meta.Bagging,1313,4.21052631578948,10.0
weka.classifiers.lazy.LWL,3350,7.4468085106382915,0.0
weka.classifiers.lazy.LWL,3362,2.10526315789474,30.0
weka.classifiers.lazy.LWL,3311,6.38297872340425,9.090909090909093
weka.classifiers.trees.DecisionStump,968,34.04255319148936,27.272727272727266
weka.classifiers.trees.J48,1740,2.10526315789474,20.0
weka.classifiers.lazy.LWL,3475,13.684210526315795,20.0
weka.classifiers.lazy.LWL,4369,0.0,9.090909090909093
weka.classifiers.lazy.LWL,4394,0.0,0.0
weka.classifiers.lazy.LWL,4376,0.0,0.0
weka.classifiers.lazy.LWL,4391,0.0,20.0
weka.classifiers.lazy.LWL,4373,0.0,0.0
weka.classifiers.lazy.LWL,4398,0.0,20.0
weka.classifiers.lazy.LWL,4388,0.0,0.0
weka.classifiers.lazy.LWL,3160,3.1578947368421098,0.0
weka.classifiers.lazy.LWL,3181,2.10526315789474,10.0
weka.classifiers.lazy.LWL,3100,3.1578947368421098,30.0
weka.classifiers.meta.Vote,3279,6.315789473684205,0.0
weka.classifiers.meta.Vote,3320,1.05263157894737,20.0
weka.classifiers.meta.Vote,3295,9.574468085106389,27.272727272727266
weka.classifiers.lazy.LWL,3438,2.1276595744680833,9.090909090909093
weka.classifiers.lazy.LWL,3488,1.05263157894737,10.0
weka.classifiers.lazy.LWL,3012,7.368421052631575,0.0
weka.classifiers.bayes.NaiveBayesMultinomial,1074,48.421052631578945,70.0
weka.classifiers.lazy.LWL,3884,2.10526315789474,0.0
weka.classifiers.lazy.LWL,3807,1.0638297872340416,0.0
weka.classifiers.lazy.LWL,3887,2.10526315789474,0.0
weka.classifiers.lazy.LWL,3810,2.10526315789474,0.0
weka.classifiers.functions.SMO,9984,4.0,4.0
